Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
2,2021-01-26,0.278,0.31314285714285717,131.31428571428572,1399935.7142857143
3,2021-01-27,0.295,0.3137142857142857,131.37142857142857,1412126.857142857
4,2021-01-28,0.292,0.312,131.20000000000002,1411257.4285714286
5,2021-01-29,0.28,0.3071428571428572,130.71428571428572,1388279
6,2021-01-30,0.32799999999999996,0.2992857142857143,129.92857142857144,1380387.7142857143
7,2021-01-31,0.32299999999999995,0.3,130,1377746.7142857143
1,2021-02-01,0.109,0.2721428571428572,127.21428571428572,1233245.2857142857
2,2021-02-02,0.18,0.2581428571428572,125.81428571428572,1155185.857142857
3,2021-02-03,0.3,0.2588571428571429,125.88571428571429,1161225.7142857143
4,2021-02-04,0.316,0.26228571428571434,126.22857142857144,1181111.4285714286
5,2021-02-05,0.316,0.26742857142857146,126.74285714285713,1213940.5714285714
6,2021-02-06,0.386,0.27571428571428575,127.57142857142858,1243416.4285714286
7,2021-02-07,0.29,0.271,127.1,1233385.5714285714
1,2021-02-08,0.305,0.29900000000000004,129.9,1384620.4285714286
2,2021-02-09,0.298,0.3158571428571429,131.5857142857143,1479204.4285714286
3,2021-02-10,0.315,0.31800000000000006,131.8,1486025.857142857
4,2021-02-11,0.303,0.31614285714285717,131.61428571428573,1475824.4285714286
5,2021-02-12,0.308,0.315,131.5,1470842
6,2021-02-13,0.39299999999999996,0.316,131.6,1462771.142857143
7,2021-02-14,0.368,0.3271428571428571,132.71428571428572,1492145.4285714286
1,2021-02-15,0.381,0.338,133.8,1431792.4285714286
2,2021-02-16,0.317,0.34071428571428575,134.07142857142858,1426242.2857142857
3,2021-02-17,0.324,0.342,134.20000000000002,1423828.5714285714
4,2021-02-18,0.258,0.3355714285714286,133.55714285714285,1376200.4285714286
5,2021-02-19,0.303,0.3348571428571429,133.4857142857143,1356125.4285714286
6,2021-02-20,0.38,0.3330000000000001,133.3,1358798.142857143
7,2021-02-21,0.368,0.3330000000000001,133.3,1355680.142857143
1,2021-02-22,0.293,0.32042857142857145,132.04285714285714,1407791
2,2021-02-23,0.311,0.31957142857142856,131.95714285714286,1422486
